,dupe
1016,1823R-25 S 5TH ST
1017,1701 MARKET ST
1018,414 RECTOR ST
1019,1800 ARCH ST
1020,9140 ACADEMY RD
1021,2145 SOUTH ST
1022,8303 TORRESDALE AVE
1023,1419A-27 ARCH ST
1024,1717 ARCH ST
1025,2137 WELSH RD
1026,6208 W PASSYUNK AVE
1027,111 S INDEPENDENCE E MALL
1028,716-30 SPRUCE ST
1029,1300 MARKET ST
1030,800-34 WALNUT ST
1031,2801 ISLAND AVE
1032,1100 S CHRIS COLUMBUS BLV
1033,907-37 MARKET ST
1034,3711 MARKET ST
1035,245 S BROAD ST
1036,8305 TORRESDALE AVE
1037,7251 E ROOSEVELT BLVD
1038,1218-22 CHESTNUT ST
1039,3600 MARKET ST
1040,1216-20 ARCH ST
1041,200-10 LOMBARD ST
1042,1612-34 CHANCELLOR ST
1043,727-33 DELANCEY ST
1044,1628-36 CHESTNUT ST
1045,1113 MARKET ST
1046,4705 RIDGE AVE
1047,2441 CHURCH ST
1048,6410 RISING SUN AVE
1049,1514-16 SANSOM ST
1050,8939-45 RIDGE AVE
1051,207-09 N BROAD ST
1052,123 S BROAD ST
1053,3624 MARKET ST
1054,111 S 15TH ST
1055,1608-14 WALNUT ST
1056,1701 WALNUT ST
1057,1831-33 CHESTNUT ST
1058,3000 GRAYS FERRY AVE
1059,9909 BUSTLETON AVE
1060,1501-39 MARKET ST
1061,1601 JOHN F KENNEDY BLVD
1062,1 DOCK ST
1063,2601 PENNSYLVANIA AVE
1064,1420 LOCUST ST
1065,28 N 3RD ST
1066,133 BREAD ST
1067,112 N 2ND ST
1068,103-07 CHURCH ST
1069,1006 N 5TH ST
1070,428 LOMBARD ST
1071,1213-15 LOCUST ST
1072,329 S 12TH ST
1073,7 N CHRIS COLUMBUS BLVD
1074,3 N CHRIS COLUMBUS BLVD
1075,901 N PENN ST
1076,717 S CHRIS COLUMBUS BLVD
1077,1512-14 SPRUCE ST
1078,1010 RACE ST
1079,1100 VINE ST
1080,131 BREAD ST
1081,20-22 N 3RD ST
1082,423-31 FAIRMOUNT AVE
1083,113 BREAD ST
1084,238 S 3RD ST
1085,210 W WASHINGTON SQ
1086,1112 SPRUCE ST
1087,253 PINE ST
1088,1345 LOMBARD ST
1089,900 PINE ST
1090,902 PINE ST
1091,429 N 13TH ST
1092,220 W WASHINGTON SQ
1093,238 S 13TH ST
1094,240 S 13TH ST
1095,242 S 13TH ST
1096,250 S 13TH ST
1097,314-22 N 12TH ST
1098,130 N 2ND ST
1099,434 POPLAR ST
1100,920 CLINTON ST
1101,28R N 3RD ST
1102,997 N 6TH ST
1103,1222 SPRUCE ST
1104,621-23 N 2ND ST
1105,8-10 LETITIA ST
1106,606 WAVERLY ST
1107,1133 LOMBARD ST
1108,1116 N BODINE ST
1109,926 N 3RD ST
1110,923 N ORIANNA ST
1111,217 CHURCH ST
1112,1019-25 N 4TH ST
1113,205-15 CUTHBERT ST
1114,335 S 12TH ST
1115,1016-18 HAMILTON ST
1116,304 MARKET ST
1117,337 S 12TH ST
1118,1022 PINE ST
1119,1431 SPRUCE ST
1120,148 N 3RD ST
1121,122-24 CHESTNUT ST
1122,900 N 3RD ST
1123,902 N 3RD ST
1124,904 N 3RD ST
1125,906 N 3RD ST
1126,309-13 ARCH ST
1127,334 S 12TH ST
1128,1322 PINE ST
1129,333 GREEN ST
1130,974-76 N 5TH ST
1131,800 N 2ND ST
1132,916 NEW MARKET ST
1133,408 SPRUCE ST
1134,1341 LOMBARD ST
1135,1102 N 4TH ST
1136,312 MARKET ST
1137,104 MARKET ST
1138,1009 CLINTON ST
1139,59 N 3RD ST
1140,449 N 13TH ST
1141,1305 SPRUCE ST
1142,929 CLINTON ST
1143,304 S 10TH ST
1144,237-41 BREAD ST
1145,1011 CLINTON ST
1146,133 LAUREL ST
1147,1125 SPRUCE ST
1148,25 BANK ST
1149,875-77 N LAWRENCE ST
1150,1401 WALNUT ST
1151,135 LAUREL ST
1152,239 MARKET ST
1153,304 CHERRY ST
1154,301 RACE ST
1155,6945 N 15TH ST
1156,11-15 N 2ND ST
1157,604-36 S WASHINGTON SQ
1158,241 S 6TH ST
1159,200 LOCUST ST
1160,220 LOCUST ST
1161,210 LOCUST ST
1162,102-22 CHURCH ST
1163,1238 CALLOWHILL ST
1164,822-38 CHESTNUT ST
1165,233 S 6TH ST
1166,1008-20 SPRUCE ST
1167,210 CHURCH ST
1168,126-28 ARCH ST
1169,1119-25 PINE ST
1170,211 CHURCH ST
1171,540 S 11TH ST
1172,1101 SOUTH ST
1173,1103 SOUTH ST
1174,315 NEW ST
1175,1326-42 SPRUCE ST
1176,100 ARCH ST
1177,1105 SOUTH ST
1178,1107 SOUTH ST
1179,1109 SOUTH ST
1180,1111 SOUTH ST
1181,101-11 ARCH ST
1182,500 S 11TH ST
1183,502R S 11TH ST
1184,504R-06 S 11TH ST
1185,504-06 S 11TH ST
1186,1113 SOUTH ST
1187,541 S 12TH ST
1188,130-36 BREAD ST
1189,205-11 N 4TH ST
1190,508 S 11TH ST
1191,510 S 11TH ST
1192,512 S 11TH ST
1193,514 S 11TH ST
1194,309 S 2ND ST
1195,313 S 2ND ST
1196,315 S 2ND ST
1197,317 S 2ND ST
1198,319 S 2ND ST
1199,321 S 2ND ST
1200,323 S 2ND ST
1201,1201 SOUTH ST
1202,512 S 12TH ST
1203,514 S 12TH ST
1204,130 SPRUCE ST
1205,516 S 12TH ST
1206,518 S 12TH ST
1207,1211 SOUTH ST
1208,1213 SOUTH ST
1209,136-38 N 2ND ST
1210,1027-31 N 4TH ST
1211,1215 SOUTH ST
1212,1217 SOUTH ST
1213,1219 SOUTH ST
1214,1221-29 SOUTH ST
1215,33 N 3RD ST
1216,802-10 LOCUST ST
1217,525-31 S 13TH ST
1218,114-18 NAUDAIN ST
1219,1107 RODMAN ST
1220,1109 RODMAN ST
1221,1111 RODMAN ST
1222,1113 RODMAN ST
1223,1115 RODMAN ST
1224,1117 RODMAN ST
1225,1119 RODMAN ST
1226,1121 RODMAN ST
1227,1123 RODMAN ST
1228,1125 RODMAN ST
1229,1127 RODMAN ST
1230,1129 RODMAN ST
1231,244-48 N 3RD ST
1232,1131 RODMAN ST
1233,522 MONTROSE ST
1234,1029 CHRISTIAN ST
1235,620 FITZWATER ST
1236,216 CHRISTIAN ST
1237,1215 FITZWATER ST
1238,1217 FITZWATER ST
1239,1240 SOUTH ST
1240,1335-37 PINE ST
1241,249-51 N 2ND ST
1242,214-18 NEW ST
1243,231-35 N 2ND ST
1244,301 N 3RD ST
1245,303 N 3RD ST
1246,305 N 3RD ST
1247,307 N 3RD ST
1248,141-45 N 2ND ST
1249,142 BREAD ST
1250,214-18 S 12TH ST
1251,1002 SPRUCE ST
1252,632 PINE ST
1253,10 N 3RD ST
1254,807-15 N HANCOCK ST
1255,23 S 23RD ST
1256,108 ARCH ST
1257,201-59 N 8TH ST
1258,1904-08 SPRING GARDEN ST
1259,1030-32 SPRUCE ST
1260,105 S 12TH ST
1261,1939 CHESTNUT ST
1262,212 BROWN ST
1263,602 S 11TH ST
1264,530 W GIRARD AVE
1265,808 PINE ST
1266,801 ADDISON ST
1267,803 ADDISON ST
1268,805 ADDISON ST
1269,807 ADDISON ST
1270,36 N FRONT ST
1271,302 LOMBARD ST
1272,1215 SPRUCE ST
1273,234 QUEEN ST
1274,236 QUEEN ST
1275,714 BAINBRIDGE ST
1276,514 SOUTH ST
1277,340 N FRONT ST
1278,1215-21 WOOD ST
1279,233 VINE ST
1280,411 S 9TH ST
1281,6-10 STRAWBERRY ST
1282,109-13 N ORIANNA ST
1283,32 S 22ND ST
1284,239 RACE ST
1285,1228-32 ARCH ST
1286,145 LAUREL ST
1287,147 LAUREL ST
1288,149 LAUREL ST
1289,151 LAUREL ST
1290,233 FAIRMOUNT AVE
1291,809 ADDISON ST
1292,811 ADDISON ST
1293,925 PINE ST
1294,1137 PINE ST
1295,265 S 9TH ST
1296,630 N 3RD ST
1297,2429-41 LOCUST ST
1298,606 S AMERICAN ST
1299,733 S 12TH ST
1300,1014 E MOYAMENSING AVE
1301,144-46 N 3RD ST
1302,903-05 CLINTON ST
1303,22 S FRONT ST
1304,241-43 CHESTNUT ST
1305,121-35 WALNUT ST
1306,828 N HANCOCK ST
1307,1515 LOCUST ST
1308,221-23 RACE ST
1309,983 N 5TH ST
1310,1112-18 N 3RD ST
1311,722 S 4TH ST
1312,1113 FITZWATER ST
1313,635 FITZWATER ST
1314,623 S 6TH ST
1315,1012-14 S RANDOLPH ST
1316,519 BAINBRIDGE ST
1317,705-07 S 12TH ST
1318,1027-31 ARCH ST
1319,1147-53 N 4TH ST
1320,1953 LOCUST ST
1321,720-22 CHESTNUT ST
1322,926-28 RACE ST
1323,122-30 NEW ST
1324,1129 SPRUCE ST
1325,113 CUTHBERT ST
1326,31 S 2ND ST
1327,20 LETITIA ST
1328,101 LOMBARD ST
1329,103 LOMBARD ST
1330,105 LOMBARD ST
1331,107 LOMBARD ST
1332,109 LOMBARD ST
1333,111 LOMBARD ST
1334,113 LOMBARD ST
1335,200 CHRISTIAN ST
1336,737-39 S 5TH ST
1337,1232 SOUTH ST
1338,704 N 5TH ST
1339,1004 S 5TH ST
1340,730 MONTROSE ST
1341,920 SOUTH ST
1342,709-11 S 12TH ST
1343,713-15 S 12TH ST
1344,717-19 S 12TH ST
1345,1606 CHESTNUT ST
1346,335 N FRONT ST
1347,1708 PINE ST
1348,1917 SPRUCE ST
1349,50-56 N FRONT ST
1350,115 LOMBARD ST
1351,1317-21 RODMAN ST
1352,135 SOUTH ST
1353,315-17 N FRONT ST
1354,334 MONROE ST
1355,129 LEAGUE ST
1356,810 S 2ND ST
1357,2026-30 CHANCELLOR ST
1358,737 S 11TH ST
1359,610 S PERCY ST
1360,721-23 S 12TH ST
1361,725-27 S 12TH ST
1362,708-10 S SARTAIN ST
1363,1029-33 SPRUCE ST
1364,128-30 SOUTH ST
1365,837 N 2ND ST
1366,415 S 19TH ST
1367,101 WALNUT ST
1368,206-08 BROWN ST
1369,408 GREEN ST
1370,125 CUTHBERT ST
1371,51 N 2ND ST
1372,21 N 3RD ST
1373,625-27 BAINBRIDGE ST
1374,613 CATHARINE ST
1375,789 S 3RD ST
1376,131 CATHARINE ST
1377,706 S 5TH ST
1378,712-14 S SARTAIN ST
1379,716-18 S SARTAIN ST
1380,720-22 S SARTAIN ST
1381,38 N FRONT ST
1382,1034 SPRUCE ST
1383,1931 SPRUCE ST
1384,212-20 RACE ST
1385,258 S 3RD ST
1386,234-38 N 3RD ST
1387,611 CATHARINE ST
1388,619 CATHARINE ST
1389,814 SOUTH ST
1390,1201-15 FITZWATER ST
1391,724-26 S SARTAIN ST
1392,728-30 S SARTAIN ST
1393,524 MONTROSE ST
1394,921 S 11TH ST
1395,602-04 FULTON ST
1396,110-12 S FRONT ST
1397,411 S 19TH ST
1398,1714 SPRUCE ST
1399,915 CLINTON ST
1400,211-25 S 4TH ST
1401,314-18 BROWN ST
1402,116-18 ARCH ST
1403,115-19 CUTHBERT ST
1404,12-16 LETITIA ST
1405,810 S 6TH ST
1406,735-39 S 12TH ST
1407,520 KATER ST
1408,336 MONROE ST
1409,532 FITZWATER ST
1410,603 N AMERICAN ST
1411,1210-26 BUTTONWOOD ST
1412,126 MARKET ST
1413,2330 SANSOM ST
1414,423 PINE ST
1415,251 S 24TH ST
1416,1624 SPRUCE ST
1417,1626 SPRUCE ST
1418,421 CHESTNUT ST
1419,700-12 LOCUST ST
1420,218 SPRUCE ST
1421,265 S 4TH ST
1422,267 S 4TH ST
1423,269 S 4TH ST
1424,517 S 6TH ST
1425,735-37 N 2ND ST
1426,729 S 2ND ST
1427,807 S DARIEN ST
1428,716-18 S 11TH ST
1429,1020 S 02ND ST
1430,1022-24 S 02ND ST
1431,271 S VAN PELT ST
1432,232-34 N 2ND ST
1433,1632 SPRUCE ST
1434,1205 SPRUCE ST
1435,2018 DELANCEY PL
1436,209 N 3RD ST
1437,328 SPRUCE ST
1438,340 SPRUCE ST
1439,413 SPRUCE ST
1440,306-08 S 13TH ST
1441,600-02 S 9TH ST
1442,1117 FITZWATER ST
1443,608 S 9TH ST
1444,401-11 N FRONT ST
1445,428-40 N 13TH ST
1446,749 S 17TH ST
1447,521 PINE ST
1448,934-50 N 3RD ST
1449,313-25 RACE ST
1450,1023 CLINTON ST
1451,315 ARCH ST
1452,1028-30 PINE ST
1453,1207 SPRUCE ST
1454,908-10 SPRUCE ST
1455,255 N 3RD ST
1456,1024 SPRUCE ST
1457,800 N LAWRENCE ST
1458,1500 MOUNT VERNON ST
1459,1502 MOUNT VERNON ST
1460,1504 MOUNT VERNON ST
1461,1183 S 11TH ST
1462,405 BAINBRIDGE ST
1463,800 S FRONT ST
1464,817-19 N 2ND ST
1465,701 S 3RD ST
1466,629-31 S 13TH ST
1467,1114 BAINBRIDGE ST
1468,1112 BAINBRIDGE ST
1469,611-15 S 2ND ST
1470,1601 LOCUST ST
1471,730 S 20TH ST
1472,810 N HANCOCK ST
1473,225 RACE ST
1474,1902 PINE ST
1475,912 SPRUCE ST
1476,914 SPRUCE ST
1477,115-21 N ORIANNA ST
1478,306-08 CHERRY ST
1479,1506 MOUNT VERNON ST
1480,1508 MOUNT VERNON ST
1481,826 S 2ND ST
1482,824 S 12TH ST
1483,753 S 8TH ST
1484,723-25 BAINBRIDGE ST
1485,1356 SOUTH ST
1486,406 QUEEN ST
1487,1216 S 12TH ST
1488,257-59 N 2ND ST
1489,227-31 S 6TH ST
1490,1009 ARCH ST
1491,1625 SPRUCE ST
1492,300 N 3RD ST
1493,915 SPRUCE ST
1494,918-20 SPRUCE ST
1495,715 PINE ST
1496,331 N FRONT ST
1497,229 CHESTNUT ST
1498,243 MONTROSE ST
1499,817 S 5TH ST
1500,1231 CLYMER ST
1501,1233-35 BAINBRIDGE ST
1502,639-41 CATHARINE ST
1503,722 N 2ND ST
1504,313-15 N 3RD ST
1505,419 SPRUCE ST
1506,1108 SPRUCE ST
1507,238 DELANCEY ST
1508,1017 SPRUCE ST
1509,104 N 2ND ST
1510,1035-37 BAINBRIDGE ST
1511,612 CHRISTIAN ST
1512,1301 ELLSWORTH ST
1513,1002 S 11TH ST
1514,400-16 S 2ND ST
1515,712-16 N 2ND ST
1516,1111-13 WALNUT ST
1517,201 N BROAD ST
1518,736-38 PINE ST
1519,924 SPRUCE ST
1520,432 POPLAR ST
1521,309 N 3RD ST
1522,1130 SPRUCE ST
1523,1304 SPRUCE ST
1524,1227 CHRISTIAN ST
1525,1009 S 8TH ST
1526,765 S 4TH ST
1527,924 S 11TH ST
1528,729 S 12TH ST
1529,943 S 3RD ST
1530,1142 S 7TH ST
1531,1213 FITZWATER ST
1532,1728 CHESTNUT ST
1533,1514 PINE ST
1534,1524 PINE ST
1535,1021 CLINTON ST
1536,800 PINE ST
1537,802 PINE ST
1538,804 PINE ST
1539,806 PINE ST
1540,320 RACE ST
1541,916 E MOYAMENSING AVE
1542,126 CUTHBERT ST
1543,226 MONROE ST
1544,755 S 3RD ST
1545,610-12 S AMERICAN ST
1546,746-48 E PASSYUNK AVE
1547,735 S RANDOLPH ST
1548,828-34 S 3RD ST
1549,1701 S 28TH ST
1550,625-33 CHRISTIAN ST
1551,246 FITZWATER ST
1552,5429-55 CHESTNUT ST
1553,743 S 3RD ST
1554,773 S 3RD ST
1555,336 QUEEN ST
1556,637 BAINBRIDGE ST
1557,201 QUEEN ST
1558,3901-55 MARKET ST
1559,620-28 CHRISTIAN ST
1560,727-29 S 7TH ST
1561,1200-02 WALNUT ST
1562,1441-43 S 2ND ST
1563,322 QUEEN ST
1564,324 QUEEN ST
1565,771-75 S 2ND ST
1566,7200 UMBRIA ST
1567,35 S 60TH ST
1568,106 S 60TH ST
1569,108 S 60TH ST
1570,109 S 60TH ST
1571,3231-65 N 2ND ST
1572,322 REED ST
1573,1320 S BROAD ST
1574,1324 S BROAD ST
1575,915-25 BAINBRIDGE ST
1576,110 S 60TH ST
1577,116 S 60TH ST
1578,124 S 60TH ST
1579,144 S 60TH ST
1580,147 S 60TH ST
1581,205 S 60TH ST
1582,213 S 60TH ST
1583,216 S 60TH ST
1584,247 S 60TH ST
1585,249 S 60TH ST
1586,251 S 60TH ST
1587,259 S 60TH ST
1588,262 S 60TH ST
1589,1326 S BROAD ST
1590,617 REED ST
1591,266 S 60TH ST
1592,274 S 60TH ST
1593,276 S 60TH ST
1594,282 S 60TH ST
1595,208 GREENWICH ST
1596,1507 E MOYAMENSING AVE
1597,1719 S 04TH ST
1598,1727 S 04TH ST
1599,786 S 2ND ST
1600,5201R COMLY ST
1601,6700 NEW STATE RD
1602,315 MONROE ST
1603,310-12 CATHARINE ST
1604,325-33 MONROE ST
1605,238 QUEEN ST
1606,817 KATER ST
1607,819 KATER ST
1608,821 KATER ST
1609,823 KATER ST
1610,7169 OGONTZ AVE
1611,2102 N 49TH ST
1612,704-10 S 6TH ST
1613,326 QUEEN ST
1614,328 QUEEN ST
1615,330 QUEEN ST
1616,209 CHRISTIAN ST
1617,211 CHRISTIAN ST
1618,1201 S 23RD ST
1619,7165-67 OGONTZ AVE
1620,770-78 S 3RD ST
1621,213 CHRISTIAN ST
1622,430 FITZWATER ST
1623,123 BAINBRIDGE ST
1624,314-20 CATHARINE ST
1625,4401 MEGARGEE ST
1626,839 S AMERICAN ST
1627,841 S AMERICAN ST
1628,843 S AMERICAN ST
1629,816 S 4TH ST
1630,5004 WELLINGTON ST
1631,1900 W ALLEGHENY AVE
1632,800 S 13TH ST
1633,845 S AMERICAN ST
1634,840 S AMERICAN ST
1635,842 S AMERICAN ST
1636,700 S 10TH ST
1637,818 S 4TH ST
1638,820 S 4TH ST
1639,822 S 4TH ST
1640,814 S SHERIDAN ST
1641,1511 N 7TH ST
1642,234 MONROE ST
1643,240 MONROE ST
1644,815 S 7TH ST
1645,705-11 PEMBERTON ST
1646,8900 E ROOSEVELT BLVD
1647,5364 JACKSON ST
1648,3232 HENRY AVE
1649,3921-61 N 05TH ST
1650,242 MONROE ST
1651,211 FULTON ST
1652,213 FULTON ST
1653,215 FULTON ST
1654,217 FULTON ST
1655,765 S 2ND ST
1656,516 LOMBARD ST
1657,317-19 MONROE ST
1658,1701-15 LOCUST ST
1659,2200-28 ARCH ST
1660,2018-32 WALNUT ST
1661,2001 HAMILTON ST
1662,219-29 S 18TH ST
1663,1425 LOCUST ST
1664,2101 MARKET ST
1665,1414 S PENN SQ
1666,130 S 18TH ST
1667,2025 ARCH ST
1668,2033-49 ARCH ST
1669,251-59 S 22ND ST
1670,400 S 22ND ST
1671,1010 ARCH ST
1672,2032 ARCH ST
1673,256-70 S 23RD ST
1674,1823 PINE ST
1675,2034 ARCH ST
1676,2105 ARCH ST
1677,117 S 16TH ST
1678,2217-19 DELANCEY PL
1679,2107 ARCH ST
1680,2109 ARCH ST
1681,2111 ARCH ST
1682,2113 ARCH ST
1683,2115 ARCH ST
1684,2125 ARCH ST
1685,2127 ARCH ST
1686,1615-17 SPRUCE ST
1687,2122 SPRUCE ST
1688,1523 GREEN ST
1689,1522 MOUNT VERNON ST
1690,210-20 S 25TH ST
1691,2043 WALNUT ST
1692,444 N 4TH ST
1693,2300 LOCUST ST
1694,1619 SPRUCE ST
1695,1627 SPRUCE ST
1696,2306 SPRUCE ST
1697,1629 GREEN ST
1698,50 S 16TH ST
1699,1903 SPRUCE ST
1700,2009 SPRUCE ST
1701,1503-05 BRANDYWINE ST
1702,317 VINE ST
1703,1001-13 CHESTNUT ST
1704,1900 HAMILTON ST
1705,201 GREEN ST
1706,8327 GERMANTOWN AVE
1707,2308-10 SPRUCE ST
1708,1821 SPRUCE ST
1709,1621 SPRUCE ST
1710,1035 SPRUCE ST
1711,1101 LOCUST ST
1712,2 E CHESTNUT HILL AVE
1713,1500 GREEN ST
1714,1825 DELANCEY PL
1715,1730 PINE ST
1716,1501 GREEN ST
1717,1503 GREEN ST
1718,1912 PINE ST
1719,2134 PINE ST
1720,1512 GREEN ST
1721,1521 GREEN ST
1722,2112 PINE ST
1723,1813 PINE ST
1724,422 S 15TH ST
1725,1529 GREEN ST
1726,1609 GREEN ST
1727,1611 GREEN ST
1728,1613 GREEN ST
1729,2047 SPRUCE ST
1730,558 N 16TH ST
1731,323 S 17TH ST
1732,343 S 18TH ST
1733,1615 GREEN ST
1734,1617 GREEN ST
1735,1631 GREEN ST
1736,110 N 21ST ST
1737,108 N 21ST ST
1738,106 N 21ST ST
1739,104 N 21ST ST
1740,102 N 21ST ST
1741,1513 GREEN ST
1742,1926 SPRING GARDEN ST
1743,1928 SPRING GARDEN ST
1744,100 N 21ST ST
1745,156 N 22ND ST
1746,158 N 22ND ST
1747,160 N 22ND ST
1748,162 N 22ND ST
1749,164 N 22ND ST
1750,166 N 22ND ST
1751,1930 SPRING GARDEN ST
1752,2024 SPRING GARDEN ST
1753,214-30 N 22ND ST
1754,2200-08 ARCH ST
1755,400-26 S BROAD ST
1756,2000 DELANCEY PL
1757,1800 PINE ST
1758,224-30 W RITTENHOUSE SQ
1759,1900 RITTENHOUSE SQ
1760,220 W RITTENHOUSE SQ
1761,1806-18 RITTENHOUSE SQ
1762,2301 CHERRY ST
1763,212-24 S 24TH ST
1764,250 S 17TH ST
1765,1666 CALLOWHILL ST
1766,1811-19 CHESTNUT ST
1767,2007 PINE ST
1768,109 S 21ST ST
1769,1518 NORTH ST
1770,626 N 16TH ST
1771,1603 MOUNT VERNON ST
1772,1605 MOUNT VERNON ST
1773,528 N 15TH ST
1774,1514 MOUNT VERNON ST
1775,655-59 N 16TH ST
1776,1935 MANNING ST
1777,326 S 17TH ST
1778,1528 PINE ST
1779,1724 SPRUCE ST
1780,1906 PINE ST
1781,1908 SPRUCE ST
1782,1812 SPRUCE ST
1783,1504-08 FAIRMOUNT AVE
1784,1808 SPRUCE ST
1785,1830 RITTENHOUSE SQ
1786,1628 SPRUCE ST
1787,2302 SPRUCE ST
1788,1526 PINE ST
1789,253 S 21ST ST
1790,1814 SPRUCE ST
1791,2410-12 PINE ST
1792,1601 SPRING GARDEN ST
1793,1920-22 CHESTNUT ST
1794,327 S 17TH ST
1795,2200 PINE ST
1796,1519 PINE ST
1797,2010 SPRUCE ST
1798,2201-09 ARCH ST
1799,2031 WALNUT ST
1800,36 STRAWBERRY ST
1801,207 S 24TH ST
1802,236 S 21ST ST
1803,1611 FAIRMOUNT AVE
1804,1813 SPRUCE ST
1805,1716 PINE ST
1806,2218 PINE ST
1807,1802 PINE ST
1808,2100 DELANCEY PL
1809,2024 SPRUCE ST
1810,2031 PINE ST
1811,2201 CHESTNUT ST
1812,1522-24 RACE ST
1813,2047 WALNUT ST
1814,2049 WALNUT ST
1815,2201 CHERRY ST
1816,344 S 15TH ST
1817,1531 PINE ST
1818,411 S CARLISLE ST
1819,272 S 23RD ST
1820,1508 PINE ST
1821,2135 WALNUT ST
1822,1518 MOUNT VERNON ST
1823,250 S 23RD ST
1824,609 N 16TH ST
1825,1706 RITTENHOUSE SQ
1826,1820 RITTENHOUSE SQ
1827,603 N 16TH ST
1828,1725 DELANCEY PL
1829,265 S 19TH ST
1830,1734 CHESTNUT ST
1831,250 S 18TH ST
1832,1839-41 SPRUCE ST
1833,1737-39 CHESTNUT ST
1834,1910 SPRING GARDEN ST
1835,1500 CHESTNUT ST
1836,1119 HAMILTON ST
1837,1324 LOCUST ST
1838,2101-17 CHESTNUT ST
1839,815-37 ARCH ST
1840,1100 S BROAD ST
1841,1121 HAMILTON ST
1842,1123 HAMILTON ST
1843,1125 HAMILTON ST
1844,1127 HAMILTON ST
1845,445 N 12TH ST
1846,447 N 12TH ST
1847,449 N 12TH ST
1848,451 N 12TH ST
1849,453 N 12TH ST
1850,455 N 12TH ST
1851,457 N 12TH ST
1852,459 N 12TH ST
1853,1126 BUTTONWOOD ST
1854,1124 BUTTONWOOD ST
1855,1122 BUTTONWOOD ST
1856,1120 BUTTONWOOD ST
1857,1118 BUTTONWOOD ST
1858,1116 BUTTONWOOD ST
1859,1114 BUTTONWOOD ST
1860,1112 BUTTONWOOD ST
1861,1110 BUTTONWOOD ST
1862,1108 BUTTONWOOD ST
1863,1106 BUTTONWOOD ST
1864,1104 BUTTONWOOD ST
1865,1101 WASHINGTON AVE
1866,2200 ARCH ST
1867,441 TOMLINSON RD
1868,6751 N 13TH ST
1869,8910 KREWSTOWN RD
1870,1708 TRACEY ST
1871,1706 TRACEY ST
1872,1704 TRACEY ST
1873,1702 TRACEY ST
1874,1700 TRACEY ST
1875,1717 TRACEY ST
1876,9259 JAMISON AVE
1877,9261 JAMISON AVE
1878,9263 JAMISON AVE
1879,9265 JAMISON AVE
1880,9267 JAMISON AVE
1881,9269 JAMISON AVE
1882,1503 GREGG ST
1883,1501 GREGG ST
1884,1570 STONEY LN
1885,1568 STONEY LN
1886,1566 STONEY LN
1887,1564 STONEY LN
1888,1562 STONEY LN
1889,9325 NEIL RD
1890,9327 NEIL RD
1891,9329 NEIL RD
1892,9333 NEIL RD
1893,9335 NEIL RD
1894,9337 NEIL RD
1895,2015 WELSH RD
1896,9228-38 BLUE GRASS RD
1897,9908 BUSTLETON AVE
1898,9906 BUSTLETON AVE
1899,9921 BUSTLETON AVE
1900,601 EDISON AVE
1901,603 EDISON AVE
1902,110-30 BYBERRY RD
1903,9926 HALDEMAN AVE
1904,301 BYBERRY RD
1905,10113-15 VERREE RD
1906,9945-49 NORWALK RD
1907,1715 TRACEY ST
1908,1713 TRACEY ST
1909,1711 TRACEY ST
1910,1709 TRACEY ST
1911,1707 TRACEY ST
1912,1734 RACHAEL ST
1913,9271 JAMISON AVE
1914,9273 JAMISON AVE
1915,9275 JAMISON AVE
1916,9321 JAMISON AVE
1917,9323 JAMISON AVE
1918,9325 JAMISON AVE
1919,1560 STONEY LN
1920,1558 STONEY LN
1921,1556 STONEY LN
1922,1554 STONEY LN
1923,1552 STONEY LN
1924,1550 STONEY LN
1925,9339-41 NEIL RD
1926,9343-45 NEIL RD
1927,9347 NEIL RD
1928,9349 NEIL RD
1929,9351 NEIL RD
1930,9353 NEIL RD
1931,9355 NEIL RD
1932,805 RED LION RD
1933,605 EDISON AVE
1934,607 EDISON AVE
1935,8920 KREWSTOWN RD
1936,1732 RACHAEL ST
1937,1730 RACHAEL ST
1938,1728 RACHAEL ST
1939,1726 RACHAEL ST
1940,1724 RACHAEL ST
1941,1735 RACHAEL ST
1942,1733 RACHAEL ST
1943,9329 JAMISON AVE
1944,9331 JAMISON AVE
1945,9333 JAMISON AVE
1946,9335 JAMISON AVE
1947,9337 JAMISON AVE
1948,9339 JAMISON AVE
1949,9341 JAMISON AVE
1950,1548 STONEY LN
1951,1546 STONEY LN
1952,1544 STONEY LN
1953,1518 STONEY LN
1954,1516 STONEY LN
1955,1514 STONEY LN
1956,1512 STONEY LN
1957,9357 NEIL RD
1958,9359 NEIL RD
1959,9361 NEIL RD
1960,9363 NEIL RD
1961,9365 NEIL RD
1962,9367 NEIL RD
1963,9369 NEIL RD
1964,609 EDISON AVE
1965,1225 NORWALK RD
1966,8930 KREWSTOWN RD
1967,1731 RACHAEL ST
1968,1729 RACHAEL ST
1969,1727 RACHAEL ST
1970,1725 RACHAEL ST
1971,1723 RACHAEL ST
1972,1721 RACHAEL ST
1973,9343 JAMISON AVE
1974,9345 JAMISON AVE
1975,9347 JAMISON AVE
1976,9349 JAMISON AVE
1977,9351 JAMISON AVE
1978,9353 JAMISON AVE
1979,9355 JAMISON AVE
1980,1510 STONEY LN
1981,1508 STONEY LN
1982,1506 STONEY LN
1983,1504 STONEY LN
1984,1502 STONEY LN
1985,1500 STONEY LN
1986,1571 STONEY LN
1987,9371 NEIL RD
1988,9373 NEIL RD
1989,9375 NEIL RD
